artist;id;name;degree
 (10156246);10156246;;3
 (13785597);13785597;;3
 (7010897);7010897;;3
Beardyman (390946);390946;Beardyman;3
GC (1618893);1618893;GC;3
Vérité (6147614);6147614;Vérité;3
Mondello' G (68917422);68917422;Mondello' G;3
Linka (1177004);1177004;Linka;3
ookay (5092057);5092057;ookay;3
Liiv (8366708);8366708;Liiv;3
Noisecontrollers (204234);204234;Noisecontrollers;3
Silverland (997011);997011;Silverland;3
Showtek and Major Lazer (12581092);12581092;Showtek and Major Lazer;3
GC (Gate Citizens) (13933715);13933715;GC (Gate Citizens);3
Elephant Man (2545);2545;Elephant Man;3
Dropgun (4126474);4126474;Dropgun;3
Ms. Dynamite (1155);1155;Ms. Dynamite;3
Elliphant (3559831);3559831;Elliphant;3
Eva Shaw (5368444);5368444;Eva Shaw;3
Spree Wilson (537911);537911;Spree Wilson;3
Tuneboy (189469);189469;Tuneboy;3
Technoboy (69202);69202;Technoboy;3
Matthew Koma (1516471);1516471;Matthew Koma;3
Justin Prime (1677958);1677958;Justin Prime;3
Moby (493);493;Moby;3
Leon Sherman (4635207);4635207;Leon Sherman;3
Sevenn (9851680);9851680;Sevenn;3
Mc Ambush (4852763);4852763;Mc Ambush;3
Major Lazer & Showtek (11092678);11092678;Major Lazer & Showtek;3
Kris Kiss (4971371);4971371;Kris Kiss;3
MAKJ (4463649);4463649;MAKJ;3
We Are Loud (5045086);5045086;We Are Loud;3
Kondo (7422598);7422598;Kondo;3
JGMBJ (52871532);52871532;JGMBJ;3
Euro (1297663);1297663;Euro;3
Mad Mark (1380766);1380766;Mad Mark;3
DJ Antoine (10041);10041;DJ Antoine;3
Sammy Porter (7890828);7890828;Sammy Porter;3
 (4871676);4871676;;3
 (62031942);62031942;;3
ONEDUO (10275558);10275558;ONEDUO;3
Outgang (73389722);73389722;Outgang;3
Bonka (97437122);97437122;Bonka;3
Bust-R (13020881);13020881;Bust-R;3
GT_Ofice (77640482);77640482;GT_Ofice;3
David Campoy (282552);282552;David Campoy;3
